text,intent
"Hello, I received a damaged item",Complaint
Product stopped working please,Complaint
Not satisfied with the service please,Complaint
The item broke after one day urgently,Complaint
Very bad quality urgently,Complaint
Very bad quality,Complaint
Product stopped working,Complaint
"Hi, Very bad quality",Complaint
Not satisfied with the service,Complaint
"Hello, I want a refund",Complaint
Product stopped working please,Complaint
I want a refund,Complaint
"Hello, The product is not working",Complaint
I received a damaged item,Complaint
Very bad quality asap,Complaint
The item broke after one day please,Complaint
Very bad quality urgently,Complaint
I am unhappy with this purchase urgently,Complaint
"Hello, Product stopped working",Complaint
"Hi, Worst experience ever",Complaint
I want a refund asap,Complaint
Worst experience ever please,Complaint
The item broke after one day please,Complaint
Product stopped working urgently,Complaint
I want a refund urgently,Complaint
"Hello, Worst experience ever",Complaint
Worst experience ever urgently,Complaint
The item broke after one day please,Complaint
I am unhappy with this purchase urgently,Complaint
The item broke after one day urgently,Complaint
"Hello, Very bad quality",Complaint
This is defective,Complaint
Very bad quality please,Complaint
"Hi, I want a refund",Complaint
I received a damaged item urgently,Complaint
Worst experience ever,Complaint
"Hello, Worst experience ever",Complaint
"Hello, Worst experience ever",Complaint
I want a refund urgently,Complaint
"Hi, I am unhappy with this purchase",Complaint
I want a refund please,Complaint
"Hello, I am unhappy with this purchase",Complaint
"Hi, I am unhappy with this purchase",Complaint
"Hello, Worst experience ever",Complaint
"Hello, This is defective",Complaint
Worst experience ever please,Complaint
Not satisfied with the service urgently,Complaint
I received a damaged item asap,Complaint
"Hi, Product stopped working",Complaint
The item broke after one day please,Complaint
"Hi, Not satisfied with the service",Complaint
Worst experience ever asap,Complaint
"Hello, The item broke after one day",Complaint
I received a damaged item asap,Complaint
Not satisfied with the service,Complaint
I want a refund,Complaint
Worst experience ever urgently,Complaint
Worst experience ever,Complaint
This is defective asap,Complaint
Product stopped working urgently,Complaint
"Hello, Worst experience ever",Complaint
"Hello, The product is not working",Complaint
The item broke after one day asap,Complaint
The item broke after one day urgently,Complaint
"Hi, I want a refund",Complaint
Product stopped working asap,Complaint
I am unhappy with this purchase please,Complaint
Worst experience ever asap,Complaint
"Hi, Worst experience ever",Complaint
This is defective please,Complaint
This is defective please,Complaint
I received a damaged item,Complaint
"Hello, The item broke after one day",Complaint
I received a damaged item asap,Complaint
"Hi, This is defective",Complaint
The product is not working urgently,Complaint
"Hi, The item broke after one day",Complaint
I am unhappy with this purchase,Complaint
"Hi, Product stopped working",Complaint
"Hi, Not satisfied with the service",Complaint
Very bad quality,Complaint
"Hello, I received a damaged item",Complaint
The item broke after one day please,Complaint
"Hi, I received a damaged item",Complaint
Worst experience ever please,Complaint
This is defective urgently,Complaint
"Hello, Product stopped working",Complaint
Very bad quality,Complaint
Product stopped working asap,Complaint
"Hi, I am unhappy with this purchase",Complaint
Very bad quality asap,Complaint
I want a refund,Complaint
"Hello, I am unhappy with this purchase",Complaint
Product stopped working urgently,Complaint
Very bad quality please,Complaint
I am unhappy with this purchase asap,Complaint
I received a damaged item please,Complaint
"Hi, Product stopped working",Complaint
The item broke after one day please,Complaint
The product is not working asap,Complaint
"Hi, Worst experience ever",Complaint
The item broke after one day asap,Complaint
Very bad quality asap,Complaint
I want a refund,Complaint
"Hello, I want a refund",Complaint
Product stopped working asap,Complaint
"Hello, The product is not working",Complaint
Worst experience ever,Complaint
I received a damaged item urgently,Complaint
This is defective,Complaint
Product stopped working asap,Complaint
I want a refund,Complaint
I received a damaged item,Complaint
The product is not working,Complaint
Not satisfied with the service please,Complaint
"Hello, The product is not working",Complaint
The product is not working,Complaint
The product is not working,Complaint
Product stopped working urgently,Complaint
"Hello, Product stopped working",Complaint
The item broke after one day please,Complaint
I want a refund urgently,Complaint
I want a refund,Complaint
Not satisfied with the service urgently,Complaint
I received a damaged item,Complaint
The product is not working urgently,Complaint
"Hello, I received a damaged item",Complaint
"Hello, This is defective",Complaint
I received a damaged item urgently,Complaint
"Hi, I received a damaged item",Complaint
I want a refund,Complaint
I am unhappy with this purchase asap,Complaint
Product stopped working please,Complaint
Not satisfied with the service asap,Complaint
Product stopped working please,Complaint
This is defective,Complaint
Worst experience ever,Complaint
Product stopped working,Complaint
I want a refund urgently,Complaint
The item broke after one day,Complaint
"Hi, Worst experience ever",Complaint
This is defective please,Complaint
The product is not working urgently,Complaint
"Hi, Worst experience ever",Complaint
The product is not working urgently,Complaint
"Hello, Product stopped working",Complaint
I want a refund please,Complaint
Worst experience ever please,Complaint
This is defective urgently,Complaint
Worst experience ever asap,Complaint
"Hi, I want a refund",Complaint
Product stopped working urgently,Complaint
The item broke after one day please,Complaint
The item broke after one day asap,Complaint
I am unhappy with this purchase please,Complaint
Very bad quality asap,Complaint
The item broke after one day please,Complaint
I want a refund please,Complaint
The item broke after one day urgently,Complaint
Product stopped working,Complaint
The item broke after one day,Complaint
"Hi, I am unhappy with this purchase",Complaint
I received a damaged item asap,Complaint
This is defective urgently,Complaint
This is defective asap,Complaint
"Hello, Product stopped working",Complaint
Product stopped working asap,Complaint
This is defective asap,Complaint
I received a damaged item urgently,Complaint
The product is not working,Complaint
The product is not working please,Complaint
"Hi, The item broke after one day",Complaint
Not satisfied with the service urgently,Complaint
"Hello, Very bad quality",Complaint
Product stopped working urgently,Complaint
"Hello, The item broke after one day",Complaint
"Hello, I received a damaged item",Complaint
Worst experience ever,Complaint
